proc 1024 1024-error-minus 1024-error-plus 1024-min 1024-max 2048 2048-error-minus 2048-error-plus 2048-min 2048-max 4096 4096-error-minus 4096-error-plus 4096-min 4096-max
1 224757599.162304 1170612.4956369996 235594.96767500043 224993194.129979 224993194.129979 192207680.41067952 643160.2233045101 279990.5520014763 192487670.962681 192487670.962681 117889550.565714 4522688.723923996 3206461.3621689975 121096011.927883 121096011.927883
12 1951304610.909091 147577659.648587 433623246.86868715 2384927857.777778 2384927857.777778 1991388617.8861785 12624230.789404392 139588414.3718865 2130977032.258065 2130977032.258065 1304063915.8775387 16977878.076658726 42024596.7681663 1346088512.645705 1346088512.645705
16 1738032595.017047 525357413.096143 474787066.83862305 2212819661.85567 2212819661.85567 2433756183.5297794 125197731.91687632 288220818.0550065 2721977001.584786 2721977001.584786 1689480073.614437 25974732.178775072 44991417.68936181 1734471491.303799 1734471491.303799
2 425458311.2619835 2931722.28560549 17105621.10915047 442563932.371134 442563932.371134 381342692.717584 50659695.413002014 423808.28263801336 381766501.000222 381766501.000222 227033390.768761 4890271.800734997 6134527.951227993 233167918.719989 233167918.719989
20 1951949883.5978842 711235969.1470172 835628131.9865308 2787578015.584415 2787578015.584415 3160264635.8595195 183544552.67061138 214131214.82810354 3374395850.687623 3374395850.687623 2113865318.5420032 51707811.699266195 34027401.933146 2147892720.475149 2147892720.475149
23 1978323184.7774386 339823129.8156066 257546681.88922834 2235869866.666667 2235869866.666667 3234590372.881356 123055068.53352976 373744685.942173 3608335058.823529 3608335058.823529 2427098738.5242243 40053814.84869814 74670354.06634569 2501769092.59057 2501769092.59057
24 1942514950.4995904 679906084.6172373 675088795.8418736 2617603746.341464 2617603746.341464 3365842101.4265995 161425146.20271873 425697607.1826725 3791539708.609272 3791539708.609272 2548897232.3939962 52128041.69632244 38116627.8469677 2587013860.240964 2587013860.240964
25 1997072617.621603 237699607.785537 193167251.7661519 2190239869.387755 2190239869.387755 3779030949.7797356 101156243.14162064 160344022.69732857 3939374972.477064 3939374972.477064 2636499161.6741076 109427145.1974616 79354124.01759243 2715853285.6917 2715853285.6917
28 1608019540.4713805 314986364.5677655 361186947.60201454 1969206488.073395 1969206488.073395 3881751296.9753923 164072751.52084732 178691937.0671606 4060443234.042553 4060443234.042553 2911568466.457355 74611896.3500061 59079528.70044899 2970647995.157804 2970647995.157804
32 2236112500.40152 842323492.6093118 381491245.93994427 2617603746.341464 2617603746.341464 4617951167.152119 479234328.5979018 179723380.33391476 4797674547.486033 4797674547.486033 3266124258.9817257 53824673.754984856 103718219.0957632 3369842478.077489 3369842478.077489
36 2147293989.595838 533433033.20486116 1259745807.229559 3407039796.825397 3407039796.825397 4965104735.092865 583555020.8071508 453089233.3613939 5418193968.454259 5418193968.454259 3579168604.935313 105402774.39941835 144000624.4334216 3723169229.368735 3723169229.368735
4 741430561.2027205 3824007.250830531 50611900.78989947 792042461.99262 792042461.99262 698057005.144652 19712815.571192026 15218529.739068985 713275534.883721 713275534.883721 445006374.450884 5311691.351121008 15678091.710698009 460684466.161582 460684466.161582
40 1885003955.6987267 482105215.8294456 764915886.2765813 2649919841.975308 2649919841.975308 4957162778.969814 389164140.67194176 884903506.7444715 5842066285.714286 5842066285.714286 3893059477.3727584 173920742.43365145 74093416.85356951 3967152894.226328 3967152894.226328
48 1451354123.9766078 399180069.07464683 695080948.0233922 2146435072.0 2146435072.0 5198315520.0 748658815.3367872 914024294.946619 6112339814.946619 6112339814.946619 4374412851.731651 106643402.78755236 64287931.73088074 4438700783.462532 4438700783.462532
6 1017267806.635071 14260763.644417048 106520189.17644691 1123787995.811518 1123787995.811518 1006783586.9197199 7035340.121116877 35429694.63367808 1042213281.553398 1042213281.553398 651212777.316189 14320826.368421078 14173250.166500926 665386027.48269 665386027.48269
8 1421480180.13245 18581440.26316905 156780902.22049093 1578261082.352941 1578261082.352941 1388567835.7427804 13413722.05182743 54766187.786631584 1443334023.529412 1443334023.529412 886975330.798767 20832785.38089192 18189840.16684997 905165170.965617 905165170.965617
