size,time,time-e-m,time-e-p,flops,flops-e-m,flops-e-p,flop
512,0.000973472,2.751999999999963e-06,6.303999999999945e-06,275750567042.50354,1774213263.680603,2555968621.045227,268435456.0
1024,0.008549952,0.0016413439999999994,3.5359999999999905e-05,251169088200.7291,1034480629.099762,60707120313.35126,2147483648.0
2048,0.053045536,0.002761856,0.002252480000000001,323870215657.7323,13192357269.46753,30981089087.337646,17179869184.0
2436,0.101113408,0.006888416000000008,0.009688959999999996,285925638190.3377,25002372434.862152,45905263473.79733,28910915712.0
2896,0.142222496,0.0038368320000000122,6.918399999999991e-05,341552424111.58356,166067073.70196533,9635828844.031738,48576438272.0
3444,0.26759472,0.011176768000000004,0.00987942399999997,305310600926.655,10870536745.39563,24178441780.444885,81699504768.0
4096,0.403122912,0.014979328000000014,0.013735904000000021,340935603957.93134,11234160215.405334,24391626805.305115,137438953472.0
4240,0.458545312,0.010805856000000003,0.0045951040000000165,332464522066.68726,3298587215.5167847,11322369132.474915,152450048000.0
4390,0.609028096,0.003797504000000007,0.01894496000000001,277834535239.56964,8381831205.08316,10125096950.167023,169209038000.0
4544,0.577333408,0.023754335999999987,0.010457216000000047,325026128347.6601,5782447509.362183,19729470169.83844,187648442368.0
4706,0.755313344,0.02619235200000003,0.009686527999999917,275967924157.315,3494341793.1077576,13407989993.539398,208442255632.0
4870,0.84844016,0.04277728000000003,0.03362051200000005,272267411292.7422,10377709900.409851,24833954040.322083,231002606000.0
5042,0.961946592,0.0035479680000000124,0.01532617599999997,266494075978.80444,4179319474.712433,5165873952.238861,256353068176.0
5220,0.939561568,0.014284960000000013,0.008318943999999995,302772384150.9873,2657240524.10791,7331617201.64032,284473296000.0
5404,1.127931968,0.07622335999999996,0.002597632000000072,279829251659.2632,642967171.0021362,20923799357.320618,315628358528.0
5595,1.339692512,0.017236448000000015,0.004325983999999838,261471969584.31607,841598207.3435669,4249536005.71994,350292039750.0
5792,1.197548896,0.020784096000000085,0.01521507199999994,324505752937.54016,4071178337.777649,9802619932.228943,388611506176.0
5996,1.50178592,0.05491020800000013,0.011955647999999819,287082579567.66565,2267400420.784973,13162437241.499207,431136575872.0
6208,1.459389344,0.027394336000000186,0.03641078399999986,327879262508.8538,7981240796.690918,14253633252.265625,478503501824.0
6428,1.938413056,0.02337772799999982,0.05014816,274038305643.76886,6910783880.817993,10256097085.881165,531199429504.0
6654,2.32426352,0.06174870400000021,0.02858275199999971,253508788249.62152,3079665216.8014526,9998443832.669128,589221228528.0
6888,2.177318432,0.049209983999999984,0.03895734399999995,300183945783.0852,5276585777.720947,12217983516.602722,653596038144.0
7132,2.603205856,0.07775974400000019,0.11251023999999976,278711883758.14716,11546840621.03125,20128518379.986877,725544407936.0
7384,2.704769792,0.04913852799999985,0.03660847999999994,297697201658.1883,3975460871.005188,9483907196.934021,805202398208.0
7644,3.356505824,0.1815187840000001,0.06195590399999995,266136613135.21976,4823436904.159149,20038867324.997498,893289091968.0
7912,3.320372384,0.09111990400000014,0.1085787840000001,298333510370.5043,9446821548.460388,17864906226.975037,990578349056.0
8192,3.424235296,0.039184960000000046,0.07574476799999985,321096984503.4855,6949015752.084045,10665998143.772095,1099511627776.0
8480,3.692216992,0.05284534400000007,0.10078575999999995,330316551449.31415,8777005147.397827,13573352835.555908,1219600384000.0
8780,4.909568992,0.03890678399999992,0.06865712000000013,275721210192.9456,3802604339.1502686,6005061645.997742,1353672304000.0
9090,6.485785568,0.03872991999999975,0.011945343999999913,231610934751.15027,425790530.1456299,1817165673.1257935,1502178858000.0
9410,7.67611296,0.0465344640000005,0.06112735999999952,217098842953.97342,1715169566.9226685,3039302780.4651794,1666475242000.0
9742,8.52956064,0.1600867199999989,0.0038040319999996797,216794225520.15527,96643258.90112305,4243364643.0884094,1849159492976.0
11586,13.624128064,0.025588031999999927,0.13521548800000005,228308379185.82852,2243626579.235565,2673228734.96167,3110502596112.0
13778,25.910503168,0.26937939200000116,0.101786495999999,201889015430.7944,789994872.6939392,2910991623.980255,5231045973904.0
