size,time,time-e-m,time-e-p,flops,flops-e-m,flops-e-p,flop
512,0.0011174848,1.2428799999999931e-05,1.9763199999999967e-05,240249288059.70117,4209782164.7688293,2666415759.83374,268435456.0
1024,0.007664569599999999,0.0006216255999999991,0.0009316864000000011,282752382896.3109,32936224792.13159,22160399031.246643,2147483648.0
2048,0.07702431359999999,0.00034607359999999643,0.0007297984000000091,223050371329.3998,2099109176.2161865,1001056872.3951416,17179869184.0
2436,0.14277877120000002,0.0005667712000000102,0.0005955327999999926,202489396008.1623,842971890.2115784,805091883.1548767,28910915712.0
2896,0.2371935744,0.0009820224000000044,0.00039372160000000767,204797514870.14307,340293925.1309204,850506408.6807556,48576438272.0
3444,0.4323319359999999,0.0006171839999999373,0.0006238720000000808,188974238725.45667,272520770.90734863,269942506.5064392,81699504768.0
4096,0.671202112,0.0005724480000000032,0.0011395840000000268,204765589175.84076,347278829.0732727,174575045.70492554,137438953472.0
4240,0.762288448,0.0005144639999999923,0.0010057600000000777,199990088223.12115,263630977.42437744,134950439.2651062,152450048000.0
4390,0.9564482624,0.0014933824000000762,0.0007603455999999342,176914077139.82645,140658487.07650757,276533164.1912842,169209038000.0
4544,0.9249733056,0.002072121600000032,0.0011495103999999978,202869392165.99872,252159196.3274536,455130135.1884155,187648442368.0
4706,1.1775333376,0.001944729599999917,0.0019308224000000873,177016267515.33374,290036485.1343994,292575232.4857483,208442255632.0
4870,1.3151055295999998,0.0005652735999999159,0.0012588224000000814,175653328574.031,168018865.4921875,75489882.17611694,231002606000.0
5042,1.4600252864,0.001168550400000079,0.0006859135999999211,175581291496.36298,82487779.37908936,140602127.60421753,256353068176.0
5220,1.5729047104,0.0007275903999999223,0.000785305600000008,180858590749.97675,90273541.56408691,83678655.39404297,284473296000.0
5404,1.765927936,0.0009219839999998758,0.000978240000000019,178732319943.64868,98976071.06491089,93342468.62173462,315628358528.0
5595,2.0607871488000002,0.001566476800000327,0.0019692671999997913,169979783840.65982,162331313.09973145,129250374.59109497,350292039750.0
5792,1.9225332800000001,0.002414656000000015,0.0023597759999998136,202135314543.67862,247991523.48480225,254007302.7199707,388611506176.0
5996,2.4066042048,0.000987660799999901,0.001961555200000298,179147309836.56372,145937720.40444946,73512761.83624268,431136575872.0
6208,2.3833592512,0.0014867071999997705,0.002258284799999899,200768599850.65063,190135531.38095093,125231781.67703247,478503501824.0
6428,2.9705473728,0.0013811968000001507,0.0014030911999998175,178822092787.1145,84446941.88415527,83161421.19696045,531199429504.0
6654,3.43136176,0.0009583680000000427,0.0014763520000000696,171716453732.7984,73862586.92150879,47960301.45635986,589221228528.0
6888,3.3788801472000003,0.0013934592000004464,0.0014418367999997628,193435719987.67828,82530191.66149902,79783853.14694214,653596038144.0
7132,4.1147679936,0.0016102656000001048,0.0010189183999997908,176326938161.0078,43660272.98092651,69022294.6083374,725544407936.0
7384,4.1805821184,0.0017355264000000759,0.000597881600000072,192605338316.35104,27549699.740447998,79982975.29019165,805202398208.0
7644,5.087545606399999,0.0021601023999995306,0.002242521600001268,175583520857.25983,77376101.67993164,74566669.31365967,893289091968.0
7912,5.120111039999999,0.002521855999999545,0.002773824000001035,193468169258.31134,104786056.5763855,95306323.7098999,990578349056.0
8192,5.424398611199999,0.003141235199999315,0.002425036800000946,202697466427.25967,90619569.20602417,117406860.91088867,1099511627776.0
8480,6.0722677632,0.0019967232000004387,0.0012675967999999926,200847603869.47583,41926169.4286499,66058133.99215698,1219600384000.0
8780,7.7413565887999995,0.003652300799999786,0.0021028352000005412,174862427619.01746,47499319.08453369,82524218.87319946,1353672304000.0
9090,8.975696838400001,0.0030444864000003236,0.0039633215999987925,167360706717.3587,73879461.74905396,56774654.820495605,1502178858000.0
9410,10.0548163648,0.010300044800001018,0.008791795199998731,165739076685.33243,144866785.17269897,169881885.60650635,1666475242000.0
9742,11.089502912,0.004475903999999531,0.007131359999998921,166748658632.7828,107184502.02215576,67307773.2053833,1849159492976.0
11586,18.8511793024,0.015225190399998922,0.018109497600001134,165003161871.98102,158443606.18182373,133288217.92245483,3110502596112.0
13778,31.909269702399996,0.026582534399995694,0.017229433600004285,163935032155.80862,88506057.82110596,136645565.07977295,5231045973904.0
